TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew na rachunek; BARBARA IRENA KWIATKOWSKA;;WYNAGRODZENIA I UZNANIA
P³atnoœæ web - kod mobilny; Kraj; Wielicka 72;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
Przelew na rachunek; URZ¥D SKARBOWY W PIASECZNIE 05-500 PIASECZNO;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew z rachunku; ORANGE;;OP£ATY RÓ¯NE
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Przelew z rachunku; LESZNOWOLSKIE PRZEDSIÊBIORSTWO KOMU NALNE S.A.;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DOZ APTEKA DBAM O ZDRO;APTEKA
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DOZ APTEKA DBAM O ZDRO;APTEKA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
Przelew na rachunek; DATA4YOU BARBARA KWIATKOWSKA;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BAR PIRAT;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KWIACIARNIA      40214;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; CDA PL;INNE
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; KWIACIARNIA      40214;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
Wyp³ata w bankomacie - kod mobilny; Kraj; ZARNOWIECKA 1;BANKOMAT
Wyp³ata w bankomacie - kod mobilny; Kraj; ZARNOWIECKA 1;BANKOMAT
Wyp³ata w bankomacie - kod mobilny; Kraj; ZARNOWIECKA 1;BANKOMAT
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew na rachunek; URZ¥D SKARBOWY W PIASECZNIE 05-500 PIASECZNO;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; Apteka Medyk;APTEKA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew z rachunku; ORANGE;;OP£ATY RÓ¯NE
Przelew z rachunku; WUZETKA WOJCIECH ZDUNIK;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KWIACIARNIA      40214;INNE
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; LOTOS SF810 K.4;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LOTOS SF312 K.1;PALIWO
P³atnoœæ kart¹; Kraj; AUTOSTRADY - SKYCASH;PALIWO
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; PAWE£ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 373 Malankowo;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; CDA PL;INNE
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Naliczenie odsetek;;;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Wyp³ata z bankomatu; Kraj; RCNN0M30;BANKOMAT
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; K.A.J. Sp. z o.o. Aptek;INNE
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PIEROGI DOMOWE PAULINA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 44;BANKOMAT
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; APTEKA PATICARIUS 01;APTEKA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; ORANGE;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. UL. SZTURMOWA;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; KONTO SZKOLNE;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
Przelew z rachunku; URZ¥D GMINY KROKOWA;;OP£ATY RÓ¯NE
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; UG KROKOWA;;OP£ATY RÓ¯NE
Przelew z rachunku; UG LESZNOWOLA;;OP£ATY RÓ¯NE
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; URZ¥D GMINY KROKOWA;;OP£ATY RÓ¯NE
Przelew z rachunku; PLUM SZKO£A P£YWANIA;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 377;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; RCWN0DD4;BANKOMAT
Wyp³ata z bankomatu; Kraj; RCNN0M30;BANKOMAT
P³atnoœæ kart¹; Kraj; Orsay-PL WARSZAWA PIAS;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; RCNN0M30;BANKOMAT
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
P³atnoœæ kart¹; Kraj; CDA PL;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LOTOS SF399 K.2;PALIWO
P³atnoœæ kart¹; Kraj; ANEMAR;Zakupy Spozywcze
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; SZKOLNA KASA MARIA KWIATKOWSKA;;OP£ATY RÓ¯NE
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; BARBARA KWIATKOWSKA;;OP£ATY RÓ¯NE
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 0399 Jawornik;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ZIELONA CHATKA;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; PLNH1460;BANKOMAT
P³atnoœæ kart¹; Kraj; ZIELONA CHATKA;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; ORLEN DOFO 01;PALIWO
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; BANIA ****ZIELONY SZ 02;INNE
P³atnoœæ kart¹; Kraj; APTEKA TATRZANSKA S. J;APTEKA
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; RENATA KWIATKOWSKA;;OP£ATY RÓ¯NE
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; brutal Market;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FU MACIEJ KOWALCZYK;INNE
P³atnoœæ kart¹; Kraj; URZAD MIASTA ZAKOPANE;INNE
Wyp³ata z bankomatu; Kraj; PLWH0586;BANKOMAT
P³atnoœæ kart¹; Kraj; U ANUSIA SKLEP ABC;INNE
P³atnoœæ kart¹; Kraj; COS-OPO WIELKA KROKIEW;INNE
P³atnoœæ kart¹; Kraj; GS JEDYNKA DELIKATESY;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BP-KOCMYRZOWSKA 820;PALIWO
P³atnoœæ kart¹; Kraj; LOTOS SF811 K.2;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; McDonalds 01;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; STRAMA SP Z O.O.;INNE
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 505394173 ORANGE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
Przelew z rachunku; TUIR ALLIANZ POLSKA S.A.;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
